informant_id,CONJ,IC,STR/SL,ANSWER,cause_effect,context
1,and,ic1,sl,yes,,bias
1,and,ic1,str,no,,bias
1,so,non,str,no,cau,bias
1,so,non,sl,yes,cau,bias
1,and,ic1,sl,yes,,bias
1,and,ic1,str,yes,,bias
1,and,ic2,str,no,,bias
1,and,ic2,sl,yes,,bias
1,and,non,str,no,,bias
1,and,non,sl,yes,,bias
1,so,ic2,str,no,cau,bias
1,so,ic2,sl,yes,cau,bias
1,and,non,sl,no,,bias
1,and,non,str,yes,,bias
1,and,non,str,yes,,bias
1,and,non,sl,yes,,bias
1,so,ic2,str,yes,eff,bias
1,so,ic2,sl,no,eff,bias
1,so,ic1,sl,yes,eff,bias
1,so,ic1,str,yes,eff,bias
1,if,ic2,str,yes,eff,bias
1,if,ic2,sl,yes,eff,bias
1,so,ic1,sl,no,cau,bias
1,so,ic1,str,yes,cau,bias
1,if,non,str,yes,eff,bias
1,if,non,sl,yes,eff,bias
1,if,non,sl,yes,eff,bias
1,if,non,str,no,eff,bias
1,and,ic1,sl,no,,bias
1,and,ic1,str,yes,,bias
1,if,non,str,no,eff,bias
1,if,non,sl,yes,eff,bias
1,so,ic1,sl,yes,eff,bias
1,so,ic1,str,no,eff,bias
1,so,ic2,sl,yes,eff,bias
1,so,ic2,str,no,eff,bias
1,and,ic2,sl,yes,,bias
1,and,ic2,str,yes,,bias
1,and,ic2,str,no,,bias
1,and,ic2,sl,yes,,bias
1,if,ic2,str,no,eff,bias
1,if,ic2,sl,yes,eff,bias
1,and,ic1,sl,yes,,bias
1,and,ic1,str,yes,,bias
1,so,ic2,str,yes,cau,bias
1,so,ic2,sl,yes,cau,bias
1,if,ic2,sl,no,eff,bias
1,if,ic2,str,yes,eff,bias
1,so,ic1,sl,yes,cau,bias
1,so,ic1,str,yes,cau,bias
1,and,ic2,str,no,,bias
1,and,ic2,sl,yes,,bias
1,if,non,str,no,eff,bias
1,if,non,sl,yes,eff,bias
1,if,ic1,str,no,eff,bias
1,if,ic1,sl,yes,eff,bias
1,if,ic2,sl,yes,eff,bias
1,if,ic2,str,no,eff,bias
1,if,ic1,sl,yes,eff,bias
1,if,ic1,str,yes,eff,bias
1,if,ic1,str,yes,eff,bias
1,if,ic1,sl,yes,eff,bias
1,so,non,str,no,cau,bias
1,so,non,sl,yes,cau,bias
1,if,ic1,sl,yes,eff,bias
1,if,ic1,str,yes,eff,bias
1,and,non,sl,yes,,bias
1,and,non,str,no,,bias
1,so,non,sl,yes,eff,bias
1,so,non,str,yes,eff,bias
1,so,non,sl,yes,eff,bias
1,so,non,str,no,eff,bias
2,and,ic1,sl,yes,,bias
2,and,ic1,str,no,,bias
2,so,non,str,no,cau,bias
2,so,non,sl,yes,cau,bias
2,and,ic1,sl,yes,,bias
2,and,ic1,str,no,,bias
2,and,ic2,str,no,,bias
2,and,ic2,sl,yes,,bias
2,and,non,str,no,,bias
