,informant_id,CONJ,IC,STR/SL,cause_effect,ANSWER,context
0,221,if,ic2,sl,eff,yes,no_bias
1,221,if,ic2,str,eff,yes,no_bias
2,221,so,ic1,str,eff,no,no_bias
3,221,so,ic1,sl,eff,yes,no_bias
4,221,and,non,sl,,yes,no_bias
5,221,and,non,str,,no,no_bias
6,221,and,ic1,sl,,yes,no_bias
7,221,and,ic1,str,,no,no_bias
8,221,so,ic2,str,eff,no,no_bias
9,221,so,ic2,sl,eff,yes,no_bias
10,221,and,non,sl,,yes,no_bias
11,221,and,non,str,,no,no_bias
12,221,if,ic1,str,eff,no,no_bias
13,221,if,ic1,sl,eff,yes,no_bias
14,221,and,ic1,str,,no,no_bias
15,221,and,ic1,sl,,yes,no_bias
16,221,so,non,sl,cau,yes,no_bias
17,221,so,non,str,cau,yes,no_bias
18,221,if,non,sl,eff,yes,no_bias
19,221,if,non,str,eff,no,no_bias
20,221,if,non,str,eff,yes,no_bias
21,221,if,non,sl,eff,no,no_bias
22,221,and,non,sl,,yes,no_bias
23,221,and,non,str,,yes,no_bias
24,221,so,non,str,eff,no,no_bias
25,221,so,non,sl,eff,yes,no_bias
26,221,if,ic1,str,eff,no,no_bias
27,221,if,ic1,sl,eff,yes,no_bias
28,221,so,ic2,str,cau,yes,no_bias
29,221,so,ic2,sl,cau,no,no_bias
30,221,so,ic1,str,cau,no,no_bias
31,221,so,ic1,sl,cau,yes,no_bias
32,221,if,ic1,sl,eff,yes,no_bias
33,221,if,ic1,str,eff,no,no_bias
34,221,and,non,sl,,yes,no_bias
35,221,and,non,str,,yes,no_bias
36,221,so,ic2,str,eff,no,no_bias
37,221,so,ic2,sl,eff,yes,no_bias
38,221,and,ic2,str,,yes,no_bias
39,221,and,ic2,sl,,yes,no_bias
40,221,so,ic2,sl,cau,no,no_bias
41,221,so,ic2,str,cau,yes,no_bias
42,221,and,ic1,str,,yes,no_bias
43,221,and,ic1,sl,,yes,no_bias
44,221,and,ic2,sl,,yes,no_bias
45,221,and,ic2,str,,no,no_bias
46,221,if,ic2,sl,eff,yes,no_bias
47,221,if,ic2,str,eff,no,no_bias
48,221,if,ic1,str,eff,no,no_bias
49,221,if,ic1,sl,eff,yes,no_bias
50,221,so,non,sl,cau,yes,no_bias
51,221,so,non,str,cau,no,no_bias
52,221,so,non,sl,eff,yes,no_bias
53,221,so,non,str,eff,no,no_bias
54,221,so,ic1,str,cau,yes,no_bias
55,221,so,ic1,sl,cau,yes,no_bias
56,221,if,ic2,sl,eff,yes,no_bias
57,221,if,ic2,str,eff,yes,no_bias
58,221,if,ic2,sl,eff,yes,no_bias
59,221,if,ic2,str,eff,yes,no_bias
60,221,and,ic2,str,,no,no_bias
61,221,and,ic2,sl,,yes,no_bias
62,221,so,ic1,sl,cau,yes,no_bias
63,221,so,ic1,str,cau,no,no_bias
64,221,if,non,str,eff,no,no_bias
65,221,if,non,sl,eff,yes,no_bias
66,221,and,ic1,sl,,yes,no_bias
67,221,and,ic1,str,,no,no_bias
